label,oid,gid,c, wbcc, wrn, i, nfb, sscore, len, imn, svtype, wbrc, im, vpc, wbfc, wcn
0,1022:2309614123551375433191,777595325319741441,0, 0, 0, 0, 0, 50, 312, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123659970200831,777601023264948225,0, 0, 21, 0, 0, 50, 2951, 0, -1, 0, 0, 0, 0, 0
1,1022:2309614123541690779534,777598760354054145,0, 0, 0, 0, 0, 50, 872, 0, -1, 0, 0, 0, 0, 0
1,1022:2309614123608271188125,777590487575953411,0, 0, 7, 0, 0, 50, 421, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123613788950792,777569657791447041,0, 4, 0, 0, 0, 50, 90, 1, 1, 3, 1, 3241486, 0, 6011
0,1042015:articleMblog_4123642566362994,777602959625682945,0, 4, 0, 0, 0, 50, 158, 1, 1, 14, 1, 4488724, 14, 514
0,1022:2309614123703632882353,777604882829934595,0, 0, 25, 0, 0, 50, 267, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351002844123651199895900,777601049034752007,0, 0, 8, 0, 0, 55, 612, 1, 3, 0, 1, 0, 0, 0
0,1022:2309614123537186113802,777593246152916994,0, 0, 0, 0, 0, 50, 386, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123633990677323,777603860627718145,0, 0, 41, 0, 0, 50, 848, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123697853122112,777604958662950914,0, 0, 21, 0, 0, 50, 577, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123651466835373,777026980083662851,0, 4, 0, 0, 0, 50, 44, 1, 9000, 350, 1, 54278, 275, 10
0,1022:2309351000194123558627402160,777600280369823745,0, 0, 2, 0, 0, 100, 3913, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351000064123544538743101,777600157157949441,0, 0, 8, 0, 0, 50, 2610, 1, 2, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123654067867427,777577860642111490,0, 2, 0, 0, 0, 50, 83, 1, 3, 2, 1, 4624941, 12, 4383
0,1022:2309614123608631903869,777598776862834690,0, 0, 6, 0, 0, 50, 921, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351001904123578932052193,777600475656617989,0, 0, 6, 0, 0, 50, 1882, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123551262232112,777597062231359489,0, 0, 0, 0, 0, 50, 717, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123551383821869,777601347534979074,0, 0, 0, 0, 0, 50, 461, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123557520093004,777590785807745026,0, 0, 0, 0, 0, 50, 3190, 2, -1, 0, 1, 0, 0, 0
0,1022:2309614123683407985819,777601160569683969,0, 0, 38, 0, 0, 50, 223, 4, -1, 0, 1, 0, 0, 0
0,1022:2309351000064123544933014563,777599245685358594,0, 0, 7, 0, 0, 50, 1035, 0, 2, 0, 0, 0, 0, 0
0,1022:2309614123549718709466,777276693641428993,0, 0, 0, 0, 0, 50, 503, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123543796339787,777600899247767553,0, 0, 0, 0, 0, 50, 2799, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123541303628748,777600886230220801,0, 0, 0, 0, 0, 50, 94, 1, 1000, 0, 1, 1078728, 0, 3661
0,1042015:articleMblog_4123649990567111,777603922772099073,0, 2, 0, 0, 0, 50, 142, 1, 3, 22, 1, 451200, 3, 44
1,1042015:articleMblog_4123669154832966,777566261146025985,0, 0, 0, 0, 0, 50, 55, 9, 9000, 7, 1, 0, 12, 0
0,1022:2309614123539010637139,777600268424445957,0, 0, 0, 0, 0, 50, 450, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123543825700327,777598100002832385,0, 0, 0, 0, 0, 50, 409, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351000154123560846215248,777600268424445957,0, 0, 5, 0, 0, 100, 435, 1, 3, 0, 1, 0, 0, 0
1,1022:2309614123525161046599,777594021394513923,0, 0, 0, 0, 0, 50, 582, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123539593652511,777589411283992587,0, 0, 0, 0, 0, 50, 867, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351002844123618299756836,777599067981086722,0, 0, 7, 0, 0, 55, 1579, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351001684123601153430016,777601765086330881,0, 0, 6, 0, 0, 100, 439, 1, 3, 0, 1, 0, 0, 0
0,1022:2309351000454123606085989886,777601326865448967,0, 0, 1, 0, 0, 100, 336, 1, 3, 0, 1, 0, 0, 0
